@relation COVID-19 Estimated ICU Beds Occupied by State Timeseries
@attribute ICU_Beds_Occupied_Estimated numeric
@attribute ICU_Beds_Occupied_Total numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50}

@data
4674,6692,4
760,1016,2
1348,1587,1
5326,6496,9
138,182,8
695,890,33
836,1564,48
676,822,25
306,394,32
1177,2931,31
166,284,30
366,558,29
108,196,28
1075,2116,3
1833,2327,27
140,221,26
1475,1739,24
1241,1871,45
540,774,37
598,810,16
1494,2236,15
1971,3285,14
227,293,13
415,659,12
136,220,11
2093,2624,10
791,968,36
5427,6508,9
239,323,7
514,1030,6
842,1306,5
4706,6723,4
764,1021,2
1350,1580,1
92,129,0
128,181,8
1243,1718,18
1078,1758,17
816,1207,20
2631,3546,38
128,150,39
900,1236,40
115,221,41
1630,2352,42
5456,6142,43
947,1321,19
3115,5202,34
418,615,44
920,1264,47
437,606,49
47,125,50
620,872,23
1808,2440,22
234,314,21
69,97,46
2510,4066,35
317,391,32
1210,2934,31
171,284,30
456,606,49
946,1273,47
718,875,33
373,556,29
3164,5191,34
2748,4055,35
806,970,36
576,775,37
2802,3621,38
131,145,39
917,1233,40
115,221,41
1682,2365,42
5619,6222,43
423,617,44
1250,1873,45
70,97,46
48,125,50
105,202,28
660,886,23
149,219,26
1882,2482,22
246,316,21
835,1229,20
993,1325,19
1291,1735,18
1106,1758,17
615,807,16
1524,2185,15
2103,3284,14
1849,2333,27
444,655,12
140,218,11
2114,2629,10
230,301,13
142,181,8
701,818,25
5627,6554,9
1101,2105,3
894,1569,48
84,130,0
1525,1773,24
784,1039,2
4896,6782,4
888,1310,5
546,1030,6
252,327,7
1420,1593,1
128,219,41
49,125,50
462,606,49
942,1273,47
61,97,46
1269,1879,45
434,617,44
5797,6652,43
1676,2357,42
936,1234,40
782,1038,2
2754,3483,38
1011,1333,19
1330,1690,18
1121,1758,17
619,806,16
1767,2463,15
2107,3284,14
226,298,13
868,1233,20
444,655,12
2166,2600,10
5632,6542,9
136,181,8
260,326,7
555,1030,6
876,1309,5
4938,6749,4
154,227,11
244,315,21
1904,2491,22
705,904,23
574,788,37
816,976,36
2735,4058,35
3267,5143,34
726,885,33
334,412,32
1209,2931,31
175,284,30
370,562,29
111,198,28
1849,2324,27
139,219,26
709,818,25
1546,1787,24
1115,2129,3
1405,1596,1
89,130,0
133,149,39
929,1580,48
